	observed_features
SRR1770793	610
SRR1770794	496
SRR1770797	635
SRR1770798	612
SRR1770804	591
SRR1770805	400
SRR1770806	555
SRR1770809	494
SRR1770812	692
SRR1770815	591
SRR1770818	527
SRR1770820	710
