	SRR1770793	SRR1770794	SRR1770797	SRR1770798	SRR1770804	SRR1770805	SRR1770806	SRR1770809	SRR1770812	SRR1770815	SRR1770818	SRR1770820
SRR1770793	0.0	0.37965477963725575	0.33838605099448	0.37536142994830457	0.4054148777709629	0.4336283185840708	0.9148339612722334	0.9072110750898099	0.9047577324104091	0.9304302111627092	0.9663541575396478	0.9773065802155437
SRR1770794	0.37965477963725575	0.0	0.4047139227197056	0.3967405590116534	0.3655480592307018	0.43354069920266364	0.9258740033295365	0.9171996845702269	0.9190396915797775	0.9379654779637255	0.9709103653728205	0.9769561026899151
SRR1770797	0.33838605099448	0.4047139227197056	0.0	0.3644966266538158	0.36414614912818716	0.4140891965302725	0.9249978095154648	0.9206168404451065	0.9158853938491194	0.9420835888898624	0.9733637080522212	0.9737141855778498
SRR1770798	0.37536142994830457	0.3967405590116534	0.3644966266538158	0.0	0.37404713922719707	0.39980723736090423	0.9328835538421099	0.9253482870410935	0.9198282660124419	0.9478664680627354	0.9696836940331202	0.9773941995969508
SRR1770804	0.4054148777709629	0.3655480592307018	0.36414614912818716	0.37404713922719707	0.0	0.4217997020941032	0.92823972662753	0.9217558924033996	0.9147463418908263	0.9494436169280644	0.9785332515552441	0.9836151756768597
SRR1770805	0.4336283185840708	0.43354069920266364	0.4140891965302725	0.39980723736090423	0.4217997020941032	0.0	0.9378778585823184	0.9270130552878296	0.9309559274511522	0.9508455270305791	0.9774818189783581	0.9803732585647945
SRR1770806	0.9148339612722334	0.9258740033295365	0.9249978095154648	0.9328835538421099	0.92823972662753	0.9378778585823184	0.0	0.6093927976868483	0.6624901428195917	0.7759572417418733	0.9259616227109436	0.9404188206431262
SRR1770809	0.9072110750898099	0.9171996845702269	0.9206168404451065	0.9253482870410935	0.9217558924033996	0.9270130552878296	0.6093927976868483	0.0	0.5936213090335583	0.7501971436081661	0.8950319810742137	0.917287303951634
SRR1770812	0.9047577324104091	0.9190396915797775	0.9158853938491194	0.9198282660124419	0.9147463418908263	0.9309559274511522	0.6624901428195917	0.5936213090335583	0.0	0.6808025935336897	0.859108034697275	0.9249978095154648
SRR1770815	0.9304302111627092	0.9379654779637255	0.9420835888898624	0.9478664680627354	0.9494436169280644	0.9508455270305791	0.7759572417418733	0.7501971436081661	0.6808025935336897	0.0	0.7946201699815999	0.9096644177692106
SRR1770818	0.9663541575396478	0.9709103653728205	0.9733637080522212	0.9696836940331202	0.9785332515552441	0.9774818189783581	0.9259616227109436	0.8950319810742137	0.859108034697275	0.7946201699815999	0.0	0.847542276351529
SRR1770820	0.9773065802155437	0.9769561026899151	0.9737141855778498	0.9773941995969508	0.9836151756768597	0.9803732585647945	0.9404188206431262	0.917287303951634	0.9249978095154648	0.9096644177692106	0.847542276351529	0.0
