	shannon_entropy
SRR1770793	8.163066233249967
SRR1770794	7.966821337951151
SRR1770797	8.204355811624412
SRR1770798	8.087496163490302
SRR1770804	8.03082835803044
SRR1770805	7.68475842271178
SRR1770806	8.179834165706614
SRR1770809	8.13586812981211
SRR1770812	8.657666524921353
SRR1770815	8.487679441285573
SRR1770818	8.346052570049538
SRR1770820	8.466672812241205
